Product Name,Item ID,ID,Price,Old Price,URL
Džiovinti šaltyje ledai su sūriu ir spanguolėmis,40 g.,17142,6.99,6.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-suriu-ir?item=17142
Džiovinti šaltyje ledai su sūriu ir spanguolėmis,1 kg.,17268,119.00,119.00,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-suriu-ir?item=17268
Džiovinti šaltyje ledai su sūriu ir spanguolėmis,100 g.,17273,11.19,13.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-suriu-ir?item=17273
Džiovinti šaltyje šokoladiniai ledai,40 g.,16915,5.25,5.25,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-sokoladiniai-ledai?item=16915
Džiovinti šaltyje šokoladiniai ledai,100 g.,16847,10.39,12.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-sokoladiniai-ledai?item=16847
Džiovinti šaltyje šokoladiniai ledai,1 kg.,17060,99.99,99.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-sokoladiniai-ledai?item=17060
Džiovinti šaltyje kokosiniai ledai,40 g.,16991,7.25,7.25,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kokosiniai-ledai?item=16991
Džiovinti šaltyje kokosiniai ledai,100 g.,17054,11.59,14.49,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kokosiniai-ledai?item=17054
Džiovinti šaltyje kokosiniai ledai,1 kg.,16992,119.00,119.00,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kokosiniai-ledai?item=16992
Džiovinti šaltyje ananasai,35 g.,16191,4.99,4.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16191
Džiovinti šaltyje ananasai,100 g,16193,10.39,12.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16193
Džiovinti šaltyje ananasai,300 g.,16928,31.99,39.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16928
Džiovinti šaltyje ananasai,1 kg.,16276,119.99,119.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16276
Džiovinti šaltyje bananai,37 g.,16203,4.69,4.69,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16203
Džiovinti šaltyje bananai,100 g.,16205,10.39,12.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16205
Džiovinti šaltyje bananai,300 g.,16965,31.99,39.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16965
Džiovinti šaltyje bananai,1 kg.,16283,119.99,119.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16283
Džiovintos šaltyje braškės,19 g.,16162,4.69,4.69,https://www.supergarden.lt/lt/katalogas/dziovintos-saltyje-braskes?item=16162
Džiovintos šaltyje braškės,100 g.,16164,11.19,13.99,https://www.supergarden.lt/lt/katalogas/dziovintos-saltyje-braskes?item=16164
Džiovintos šaltyje braškės,300 g.,16539,30.31,37.89,https://www.supergarden.lt/lt/katalogas/dziovintos-saltyje-braskes?item=16539
Džiovintos šaltyje braškės,1 kg.,16265,125.98,125.98,https://www.supergarden.lt/lt/katalogas/dziovintos-saltyje-braskes?item=16265
Džiovintas šaltyje arbūzas,25 g.,16863,5.99,5.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-arbuzas?item=16863
Džiovintas šaltyje paukštienos prieskonių mišinys,90 g.,17125,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-paukstienos-prieskoniu?item=17125
Džiovintas šaltyje kiaulienos prieskonių mišinys,100 g.,17115,7.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-kiaulienos-prieskoniu?item=17115
Džiovintas šaltyje laukinių paukščių prieskonių mišinys,80 g.,17117,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-laukiniu-pauksciu?item=17117
Džiovintas šaltyje jūros gėrybių prieskonių mišinys,90 g.,17127,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-juros-gerybiu?item=17127
Džiovintas šaltyje jautienos prieskonių mišinys,80 g.,17119,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-jautienos-prieskoniu?item=17119
Džiovintas šaltyje avienos prieskonių mišinys,80 g.,17121,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-avienos-prieskoniu?item=17121
Džiovintas šaltyje barbekių prieskonių mišinys,80 g.,17103,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-barbekiu-prieskoniu?item=17103
Džiovintas šaltyje laukinių žvėrių prieskonių mišinys,90 g.,17123,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-laukiniu-zveriu?item=17123
Džiovintas šaltyje universalus prieskonių mišinys,90 g.,17104,9.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-universalus-prieskoniu?item=17104
