Product Name,Item ID,ID,Price,Old Price,URL
vaisių ir uogų šokis,1 vnt.,17254,6.99,6.99,https://www.supergarden.lt/lt/katalogas/vaisiu-ir-uogu-sokis?item=17254
rinkinys smaližiui,1 vnt.,17253,6.99,6.99,https://www.supergarden.lt/lt/katalogas/rinkinys-smaliziui?item=17253
Džiovinti šaltyje mangų skonio ledai,45 g.,17095,6.49,6.49,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-mangu-skonio-ledai?item=17095
Džiovinti šaltyje mangų skonio ledai,100 g.,17113,11.19,13.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-mangu-skonio-ledai?item=17113
Džiovinti šaltyje ledai su Sicilijos pistacijomis,40 g.,17140,7.25,7.25,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-sicilijos?item=17140
Džiovinti šaltyje kivi skonio ledai,45 g.,17172,6.99,6.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kivi-skonio-ledai?item=17172
Džiovinti šaltyje kivi skonio ledai,100 g.,17173,7.99,9.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kivi-skonio-ledai?item=17173
Džiovinti šaltyje kivi skonio ledai,1 kg.,17266,105.00,105.00,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-kivi-skonio-ledai?item=17266
Džiovinti šaltyje ledai su karamele ir sausainių gabaliukais be pridėtinio cukraus,43 g.,17050,7.99,7.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-karamele-ir?item=17050
Džiovinti šaltyje ledai su karamele ir sausainių gabaliukais be pridėtinio cukraus,100 g.,17138,11.19,13.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-karamele-ir?item=17138
Džiovinti šaltyje ledai su karamele ir sausainių gabaliukais be pridėtinio cukraus,1 kg.,17267,119.00,119.00,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ledai-su-karamele-ir?item=17267
Džiovinti šaltyje grietinėlės-mėlynių ledai,30 g.,17141,7.25,7.25,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-grietineles-melyniu?item=17141
Džiovinti šaltyje avižiniai ledai su lazdyno riešutais,45 g.,17139,7.25,7.25,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-aviziniai-ledai-su?item=17139
