Product Name,Item ID,ID,Price,Old Price,URL
16 x (36g) Šaltyje džiovintų vaisių kokteiliai,,,"€47,84","€80,00",https://www.trusthemp.eu/products/16-x-saltyje-dziovintu-vaisiu-kokteiliai
8 x (36g)  Šaltyje džiovintų vaisių kokteiliai,,,"€27,92","€40,00",https://www.trusthemp.eu/products/8-x-saltyje-dziovintu-vaisiu-kokteiliai
4 x (36g)  Šaltyje džiovintų vaisių kokteiliai,,,"€15,96","€20,00",https://www.trusthemp.eu/products/4-x-36g-saltyje-dziovintu-vaisiu-kokteiliai-1
4 x (36g)  Šaltyje džiovintų vaisių kokteiliai,,,"€15,96","€20,00",https://www.trusthemp.eu/products/4-x-36g-saltyje-dziovintu-vaisiu-kokteiliai
TrustHemp rankinis 500ml vaisių kokteilių plaktuvas,,,"€11,99","€17,85",https://www.trusthemp.eu/products/trusthemp-rankinis-vaisiu-kokteiliu-plaktuvas
Liofilizuotos braškės 4x (20g),,,"€11,60","€14,40",https://www.trusthemp.eu/products/liofilizuotos-braskes
4x (40g) Liofilizuoti bananai,,,"€10,80","€13,60",https://www.trusthemp.eu/products/4x-40g-liofilizuoti-bananai-rinkinys
4x (20g) Liofilizuoti obuoliai,,,"€9,60","€12,00",https://www.trusthemp.eu/products/4x-20g-liofilizuoti-obuoliai
"Šaltyje džiovintų mango ir uogų kokteilis ""Nomic"" (36g)",,,,"€5,00",https://www.trusthemp.eu/products/saltyje-dziovintu-mango-ir-uogu-kokteilis
"Šaltyje džiovintų serbentų  ir vaisių kokteilis ""Crescendo"" (36g)",,,,"€5,00",https://www.trusthemp.eu/products/saltyje-dziovintu-serbentu-ir-vaisiu-kokteilis
"Šaltyje džiovintų bananų ir uogų kokteilis ""Blithe""  (36g)",,,,"€5,00",https://www.trusthemp.eu/products/saltyje-dziovintu-bananu-ir-uogu-kokteilis
